tracking_nr,order_nr,package_nr,fk_delivery_company,return_reasons,shipped_date,delivered_date,receivables,status
5004756121,349694162,MPDS-349694162-8144,1,,2018-07-02,2018-07-03,249,
5004756105,375524162,MPDS-375524162-9663,1,,2018-07-02,2018-07-03,249,
5004756107,384124162,MPDS-384124162-3476,1,,2018-07-02,2018-07-03,349,
5004756113,334464162,MPDS-334464162-2753,1,,2018-07-02,2018-07-03,249,
5004756111,339124162,MPDS-339124162-2897,1,,2018-07-02,2018-07-03,249,
5004756100,335344162,MPDS-335344162-4174,1,,2018-07-02,2018-07-03,229,
5004756101,341424162,MPDS-341424162-1282,1,,2018-07-02,2018-07-03,1299,
5004756103,397524162,MPDS-397524162-2220,1,,2018-07-02,2018-07-03,249,
5004756102,349224162,MPDS-349224162-8129,1,,2018-07-02,2018-07-04,249,
5004756099,366344162,MPDS-366344162-6274,1,,2018-07-02,2018-07-03,249,
5004756096,331844162,MPDS-331844162-1189,1,,2018-07-02,2018-07-03,159,
5004756097,316144162,MPDS-316144162-7834,1,,2018-07-02,2018-07-04,249,
5004756098,332344162,MPDS-332344162-3492,1,,2018-07-02,2018-07-03,229,
5004756091,367244162,MPDS-367244162-9243,1,,2018-07-02,2018-07-03,229,
5004756092,381244162,MPDS-381244162-2729,1,,2018-07-02,2018-07-03,229,
5004756093,349644162,MPDS-349644162-8855,1,,2018-07-02,2018-07-03,980,
5005646464,356988162,356988162-7714,1,,2018-07-02,2018-07-03,325.99,
5005646471,313688162,313688162-5592,1,,2018-07-02,2018-07-03,365.33,
5005646496,381888162,381888162-9331,1,,2018-07-02,2018-07-03,744,
5005645891,362236162,MPDS-362236162-1024,1,,2018-07-02,2018-07-04,494.26,
5005645953,393796162,MPDS-393796162-5464,1,,2018-07-02,2018-07-04,563.25,
5005645956,391514162,MPDS-391514162-8728,1,,2018-07-02,2018-07-04,1046.34,
5005645957,398342162,MPDS-398342162-3561,1,,2018-07-02,2018-07-04,549,
5005646532,355598162,355598162-5303,1,,2018-07-02,2018-07-03,389,
5005644442,374373562,MPDS-374373562-5074,1,,2018-07-02,2018-07-04,1196.25,
5005645359,398766162,MPDS-398766162-2009,1,,2018-07-02,2018-07-04,874,
5005646027,393996162,MPDS-393996162-3171,1,,2018-07-02,2018-07-04,549,
5005646549,385478162,385478162-6573,1,,2018-07-02,2018-07-03,337.34,
5005645960,395412162,MPDS-395412162-2742,1,,2018-07-02,2018-07-04,1235,
5005645962,399752162,MPDS-399752162-9452,1,,2018-07-02,2018-07-04,1539,
5005645306,398295562,MPDS-398295562-6713,1,,2018-07-02,2018-07-04,398,
