tracking_nr,cod_received,chq_nr,deposit_date
5005631975,191,Direct Deposit,2018-07-21
5005631998,245,Direct Deposit,2018-07-21
5005632000,2501,Direct Deposit,2018-07-21
5005632027,2306,Direct Deposit,2018-07-21
5005632031,765,Direct Deposit,2018-07-21
5005632082,745,Direct Deposit,2018-07-21
5005632090,1490,Direct Deposit,2018-07-21
5005632101,255,Direct Deposit,2018-07-21
5005632103,1,Direct Deposit,2018-07-21
5005632110,482,Direct Deposit,2018-07-21
5005632111,77,Direct Deposit,2018-07-21
5005632147,956,Direct Deposit,2018-07-21
5005632156,77,Direct Deposit,2018-07-21
5005632178,652,Direct Deposit,2018-07-21
5005632202,1415,Direct Deposit,2018-07-21
5005632251,1003,Direct Deposit,2018-07-21
5005632258,582,Direct Deposit,2018-07-21
5005632260,93,Direct Deposit,2018-07-21
5005632275,206,Direct Deposit,2018-07-21
5005632282,181,Direct Deposit,2018-07-21
5005632295,129,Direct Deposit,2018-07-21
5005632325,872,Direct Deposit,2018-07-21
5005632331,1428,Direct Deposit,2018-07-21
5005632368,1002,Direct Deposit,2018-07-21
5005632370,1476,Direct Deposit,2018-07-21
5005632377,188,Direct Deposit,2018-07-21
5005632385,135,Direct Deposit,2018-07-21
5005632387,106,Direct Deposit,2018-07-21
5005632404,651,Direct Deposit,2018-07-21
5005632405,16,Direct Deposit,2018-07-21
5005632445,692,Direct Deposit,2018-07-21
5005632447,666,Direct Deposit,2018-07-21
5005632455,315,Direct Deposit,2018-07-21
5005632459,11,Direct Deposit,2018-07-21
5005632475,132,Direct Deposit,2018-07-21
5005632476,398,Direct Deposit,2018-07-21
5005632489,555,Direct Deposit,2018-07-21
5005632490,255,Direct Deposit,2018-07-21
5005632493,272,Direct Deposit,2018-07-21
5005632503,453,Direct Deposit,2018-07-21
5005632507,1001,Direct Deposit,2018-07-21
5005632508,424,Direct Deposit,2018-07-21
5005632509,483,Direct Deposit,2018-07-21
5005632517,223,Direct Deposit,2018-07-21
5005632541,105,Direct Deposit,2018-07-21
5005632553,547,Direct Deposit,2018-07-21
5005632560,655,Direct Deposit,2018-07-21
5005632563,1601,Direct Deposit,2018-07-21
5005632564,1352,Direct Deposit,2018-07-21
5005632566,1201,Direct Deposit,2018-07-21
5005632568,251,Direct Deposit,2018-07-21
5005632579,697,Direct Deposit,2018-07-21
5005632594,135,Direct Deposit,2018-07-21
5005632595,146,Direct Deposit,2018-07-21
5005632604,137,Direct Deposit,2018-07-21
5005632605,172,Direct Deposit,2018-07-21
5005632607,157,Direct Deposit,2018-07-21
5005632609,755,Direct Deposit,2018-07-21
5005632612,1203,Direct Deposit,2018-07-21
5005632619,166,Direct Deposit,2018-07-21
5005632628,31,Direct Deposit,2018-07-21
5005632631,1601,Direct Deposit,2018-07-21
5005632635,851,Direct Deposit,2018-07-21
5005632639,857,Direct Deposit,2018-07-21
5005632653,1556,Direct Deposit,2018-07-21
5005632659,321,Direct Deposit,2018-07-21
5005632664,114,Direct Deposit,2018-07-21
5005632685,1849,Direct Deposit,2018-07-21
5005632693,84,Direct Deposit,2018-07-21
5005632695,237,Direct Deposit,2018-07-21
5005632697,601,Direct Deposit,2018-07-21
5005632698,601,Direct Deposit,2018-07-21
5005632701,2458,Direct Deposit,2018-07-21
5005632702,185,Direct Deposit,2018-07-21
5005632704,754,Direct Deposit,2018-07-21
5005632710,1801,Direct Deposit,2018-07-21
5005632718,95,Direct Deposit,2018-07-21
5005632719,597,Direct Deposit,2018-07-21
5005632724,314,Direct Deposit,2018-07-21
5005632725,138,Direct Deposit,2018-07-21
5005632740,869,Direct Deposit,2018-07-21
5005632750,904,Direct Deposit,2018-07-21
5005632761,152,Direct Deposit,2018-07-21
5005632770,502,Direct Deposit,2018-07-21
5005632771,1172,Direct Deposit,2018-07-21
5005632772,757,Direct Deposit,2018-07-21
5005632797,946,Direct Deposit,2018-07-21
5005632799,195,Direct Deposit,2018-07-21
5005632815,422,Direct Deposit,2018-07-21
5005632831,1,Direct Deposit,2018-07-21
5005632832,1456,Direct Deposit,2018-07-21
5005632842,462,Direct Deposit,2018-07-21
5005632855,921,Direct Deposit,2018-07-21
5005632859,84,Direct Deposit,2018-07-21
5005632864,801,Direct Deposit,2018-07-21
5005632866,465,Direct Deposit,2018-07-21
5005632868,134,Direct Deposit,2018-07-21
5005632874,157,Direct Deposit,2018-07-21
5005632875,2044,Direct Deposit,2018-07-21
5005632892,191,Direct Deposit,2018-07-21
5005632896,1756,Direct Deposit,2018-07-21
5005632923,537,Direct Deposit,2018-07-21
5005632927,692,Direct Deposit,2018-07-21
5005632930,682,Direct Deposit,2018-07-21
5005632932,1446,Direct Deposit,2018-07-21
5005632933,186,Direct Deposit,2018-07-21
5005632939,434,Direct Deposit,2018-07-21
5005632945,357,Direct Deposit,2018-07-21
5005632954,355,Direct Deposit,2018-07-21
5005632959,1395,Direct Deposit,2018-07-21
5005632961,440,Direct Deposit,2018-07-21
5005632962,777,Direct Deposit,2018-07-21
5005632967,387,Direct Deposit,2018-07-21
5005632974,107,Direct Deposit,2018-07-21
5005632977,302,Direct Deposit,2018-07-21
5005632978,448,Direct Deposit,2018-07-21
5005632979,197,Direct Deposit,2018-07-21
5005632982,477,Direct Deposit,2018-07-21
5005632984,596,Direct Deposit,2018-07-21
5005632986,419,Direct Deposit,2018-07-21
5005632990,205,Direct Deposit,2018-07-21
5005632999,99,Direct Deposit,2018-07-21
5005633001,1460,Direct Deposit,2018-07-21
5005633003,84,Direct Deposit,2018-07-21
5005633011,181,Direct Deposit,2018-07-21
5005633029,172,Direct Deposit,2018-07-21
5005633036,101,Direct Deposit,2018-07-21
5005633037,112,Direct Deposit,2018-07-21
5005633040,251,Direct Deposit,2018-07-21
5005633058,210,Direct Deposit,2018-07-21
5005633060,1155,Direct Deposit,2018-07-21
5005633061,1002,Direct Deposit,2018-07-21
5005633062,1157,Direct Deposit,2018-07-21
5005633071,805,Direct Deposit,2018-07-21
5005633080,392,Direct Deposit,2018-07-21
5005633084,288,Direct Deposit,2018-07-21
5005633085,367,Direct Deposit,2018-07-21
5005633089,82,Direct Deposit,2018-07-21
5005633097,56,Direct Deposit,2018-07-21
5005633098,895,Direct Deposit,2018-07-21
5005633099,955,Direct Deposit,2018-07-21
5005633107,581,Direct Deposit,2018-07-21
5005633111,101,Direct Deposit,2018-07-21
5005633112,538,Direct Deposit,2018-07-21
5005633114,101,Direct Deposit,2018-07-21
5005633115,2055,Direct Deposit,2018-07-21
5005633119,239,Direct Deposit,2018-07-21
5005633120,657,Direct Deposit,2018-07-21
5005633139,417,Direct Deposit,2018-07-21
5005633140,100,Direct Deposit,2018-07-21
5005633143,1251,Direct Deposit,2018-07-21
5005633156,307,Direct Deposit,2018-07-21
5005633162,447,Direct Deposit,2018-07-21
5005633167,378,Direct Deposit,2018-07-21
5005633190,672,Direct Deposit,2018-07-21
5005633200,1001,Direct Deposit,2018-07-21
5005633201,335,Direct Deposit,2018-07-21
5005633221,552,Direct Deposit,2018-07-21
5005633256,200,Direct Deposit,2018-07-21
5005633257,197,Direct Deposit,2018-07-21
5005633258,678,Direct Deposit,2018-07-21
5005633259,351,Direct Deposit,2018-07-21
5005633264,655,Direct Deposit,2018-07-21
5005633265,155,Direct Deposit,2018-07-21
5005633267,245,Direct Deposit,2018-07-21
5005633268,405,Direct Deposit,2018-07-21
5005633271,1709,Direct Deposit,2018-07-21
5005633272,612,Direct Deposit,2018-07-21
5005633277,1479,Direct Deposit,2018-07-21
5005633325,157,Direct Deposit,2018-07-21
5005633326,213,Direct Deposit,2018-07-21
5005633329,1512,Direct Deposit,2018-07-21
5005633331,48,Direct Deposit,2018-07-21
5005633332,163,Direct Deposit,2018-07-21
5005633337,14,Direct Deposit,2018-07-21
5005633338,77,Direct Deposit,2018-07-21
5005633342,112,Direct Deposit,2018-07-21
5005633344,1800,Direct Deposit,2018-07-21
5005633349,1371,Direct Deposit,2018-07-21
5005633350,185,Direct Deposit,2018-07-21
5005633352,125,Direct Deposit,2018-07-21
5005633361,336,Direct Deposit,2018-07-21
5005633369,422,Direct Deposit,2018-07-21
5005633408,860,Direct Deposit,2018-07-21
5005633412,389,Direct Deposit,2018-07-21
5005633413,405,Direct Deposit,2018-07-21
5005633425,101,Direct Deposit,2018-07-21
5005633437,2480,Direct Deposit,2018-07-21
5005633438,707,Direct Deposit,2018-07-21
5005633441,23,Direct Deposit,2018-07-21
